# !SESSION 2017-06-15 22:37:28.881
# version: 1.1
# verbose: true
# The following option strings are specified for this debug session:
# 	null
| Worker-11 | 2017-06-15 22:37:28.881 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Completed WidgetModel.getWidgetForRead it 129ms |
| Worker-11 | 2017-06-15 22:37:28.927 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Really updating the installed plugin list |
| Worker-11 | 2017-06-15 22:37:28.930 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Updated plugin list in 3 ms |
| Worker-11 | 2017-06-15 22:37:28.958 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Completed WidgetModel.getWidgetForRead it 0ms |
| Worker-11 | 2017-06-15 22:37:28.963 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Really updating the installed plugin list |
| Worker-11 | 2017-06-15 22:37:28.965 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Updated plugin list in 2 ms |
| Worker-11 | 2017-06-15 22:37:28.979 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Completed WidgetModel.getWidgetForRead it 1ms |
| Worker-11 | 2017-06-15 22:37:28.982 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Really updating the installed plugin list |
| Worker-11 | 2017-06-15 22:37:28.983 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Updated plugin list in 1 ms |
| Worker-1 | 2017-06-15 22:37:29.386 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Completed WidgetModel.getWidgetForRead it 0ms |
| Worker-1 | 2017-06-15 22:37:29.392 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Really updating the installed plugin list |
| Worker-1 | 2017-06-15 22:37:29.395 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Updated plugin list in 3 ms |
| ModalContext | 2017-06-15 22:38:47.609 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Completed WidgetModel.getWidgetForRead it 0ms |
| ModalContext | 2017-06-15 22:38:47.614 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Really updating the installed plugin list |
| ModalContext | 2017-06-15 22:38:47.617 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Updated plugin list in 3 ms |
# !SESSION 2017-06-15 22:45:46.455
# version: 1.1
# verbose: true
# The following option strings are specified for this debug session:
# 	null
